text,label
"Cheap meds online! V!@GRA, C!AL!S and more. Discreet shipping. Order now!",spam
,ham
Prescription drugs at 80% off. No prescription needed! http://pharmacy-115876.com,
Make $88104 per day working from home! No experience needed. Join now!,spam
Send this to 5 people and receive $17893 from Bill Gates!,spam
Happy birthday David! Hope you have a wonderful day.,ham
,ham
Make $47676 per day working from home! No experience needed. Join now!,spam
I've booked a table for 10 at 5:00 PM on Thursday. Let me know if plans change.,ham
Congratulations! You've won a $3755 prize. Click here to claim: http://prize-894346.com,spam
Nigerian prince needs your help. Transfer $10308 for $220200 reward.,spam
You have been selected for a $12679 cash reward. Act fast! Expires soon.,spam
Congratulations! You've won a $36891 prize. Click here to claim: http://prize-413845.com,spam
Make $61118 per day working from home! No experience needed. Join now!,spam
Just a reminder that rent is due on the Mondayth. Please transfer at your convenience.,ham
I've booked a table for 10 at 2:00 PM on Saturday. Let me know if plans change.,ham
"Hey, are you free this weekend? A few of us are planning a hike on Monday.",
Your flight 257804 to Tokyo departs at 3:30 PM on Saturday. Check-in opens 24h before.,ham
Congratulations! You've won a $33644 prize. Click here to claim: http://prize-328986.com,
Exclusive offer for you: Get 90% off everything at http://shop-735540.com,
Thanks for your email. I'll get back to you by end of day Tuesday.,ham
Your flight 996387 to Sydney departs at noon on Saturday. Check-in opens 24h before.,ham
,spam
The invoice #051027 for $5678 is attached. Please process by tomorrow.,ham
You owe $15753 in taxes. Pay immediately or face arrest. IRS Notice #070518.,spam
You have been selected for a $41184 cash reward. Act fast! Expires soon.,spam
The invoice #213116 for $30676 is attached. Please process by Wednesday.,ham
Congratulations! You've won a $20042 prize. Click here to claim: http://prize-080214.com,spam
,
Monthly newsletter: Here's what happened in our community this March.,
Prescription drugs at 80% off. No prescription needed! http://pharmacy-464085.com,spam
Hot singles in your area are waiting! Meet them tonight at http://date-196094.com,spam
Just a reminder that rent is due on the tomorrowth. Please transfer at your convenience.,ham
Free trial of our premium service. No credit card needed. Sign up: http://free-396440.com,spam
Congratulations! You've won a $26276 prize. Click here to claim: http://prize-701709.com,spam
FREE iPhone 16 Pro! Limited offer. Reply YES to claim yours now!,spam
Here's the summary of today's meeting. Action items are highlighted in yellow.,ham
Please review and sign the attached NDA before our meeting on the 15th.,ham
Nigerian prince needs your help. Transfer $20744 for $312743 reward.,spam
The homework assignment is due Friday. Please submit via the portal by midnight.,ham
"Your password was recently changed. If this wasn't you, contact support immediately.",ham
Just a reminder that rent is due on the tomorrowth. Please transfer at your convenience.,
LAST CHANCE: Confirm your subscription or lose access. Click: http://sub-930685.net,spam
Your order #321367 has been shipped. Expected delivery: Monday.,ham
"Hi Jessica, your insurance renewal is due on Thursday. Review your policy attached.",ham
"Hi John, just checking in about the meeting scheduled for Saturday at 10:30 AM.",
The conference call recording from the 20th is now available in the shared folder.,ham
"Hi Amanda, can you review the pull request I submitted? Let me know if you have questions.",ham
Hot singles in your area are waiting! Meet them tonight at http://date-960009.com,spam
Dinner at 9:00 AM tonight? I was thinking we could try that new Italian place.,ham
"Hi Emily, just checking in about the meeting scheduled for tomorrow at 5:00 PM.",ham
Exclusive offer for you: Get 90% off everything at http://shop-010824.com,spam
FYI ? the project deadline has been moved to Friday. Please update your plans.,ham
"Hi Emily, your subscription renews on the 15th. Let us know if you'd like to make changes.",ham
Free trial of our premium service. No credit card needed. Sign up: http://free-754182.com,spam
Free trial of our premium service. No credit card needed. Sign up: http://free-176142.com,spam
CLAIM NOW: You've been chosen for a $24821 Amazon gift card!,spam
The quarterly budget review is scheduled for Wednesday. Please prepare your department numbers.,ham
The invoice #090740 for $48051 is attached. Please process by the 15th.,ham
Double your investment in 24 hours with our secret trading algorithm!,spam
The invoice #370215 for $13745 is attached. Please process by Tuesday.,ham
Send this to 16 people and receive $3876 from Bill Gates!,spam
"Your password was recently changed. If this wasn't you, contact support immediately.",ham
Your computer has a virus! Call 1-800-472846 immediately for free removal.,spam
CLAIM NOW: You've been chosen for a $29411 Amazon gift card!,spam
Free trial of our premium service. No credit card needed. Sign up: http://free-444889.com,spam
,spam
FREE iPhone 16 Pro! Limited offer. Reply YES to claim yours now!,spam
CLAIM NOW: You've been chosen for a $6795 Amazon gift card!,spam
FYI ? the project deadline has been moved to Sunday. Please update your plans.,ham
"Hi team, please welcome James who is joining us as the new Product Manager starting next week.",ham
Breaking: You can erase all debt in 30 days legally! Get our free guide.,spam
Your PayPal account is limited. Verify immediately: http://paypal-066664.com,spam
,ham
"Cheap meds online! V!@GRA, C!AL!S and more. Discreet shipping. Order now!",spam
Your PayPal account is limited. Verify immediately: http://paypal-330770.com,spam
"Hi team, please welcome Amanda who is joining us as the new Product Manager starting Wednesday.",ham
Thanks for your email. I'll get back to you by end of day Sunday.,ham
CLAIM NOW: You've been chosen for a $93368 Amazon gift card!,spam
,ham
Earn $10653 daily with crypto! Bitcoin investment guaranteed returns.,spam
Nigerian prince needs your help. Transfer $4264 for $77514 reward.,spam
FYI ? the project deadline has been moved to Tuesday. Please update your plans.,ham
"Hi Jessica, your subscription renews on next week. Let us know if you'd like to make changes.",ham
Your doctor's appointment is confirmed for Sunday at 5:00 PM.,ham
The homework assignment is due the 15th. Please submit via the portal by midnight.,ham
The library book you reserved is now available for pickup. Expires Tuesday.,ham
Hot singles in your area are waiting! Meet them tonight at http://date-420353.com,spam
Happy birthday Ashley! Hope you have a wonderful day.,ham
Your computer has a virus! Call 1-800-138267 immediately for free removal.,spam
,ham
Send this to 13 people and receive $15283 from Bill Gates!,spam
Earn $67799 daily with crypto! Bitcoin investment guaranteed returns.,spam
The homework assignment is due Monday. Please submit via the portal by midnight.,ham
You owe $80248 in taxes. Pay immediately or face arrest. IRS Notice #450053.,spam
WINNER! Your email won our lottery. Send bank details to collect $58879.,
The conference call recording from the 20th is now available in the shared folder.,
"Hi Jessica, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
Breaking: You can erase all debt in 30 days legally! Get our free guide.,spam
Free trial of our premium service. No credit card needed. Sign up: http://free-743699.com,spam
Your computer has a virus! Call 1-800-287806 immediately for free removal.,spam
,ham
Please find attached the report for Q3 as discussed in our last meeting.,ham
I've booked a table for 9 at 5:00 PM on next week. Let me know if plans change.,ham
"Hey, are you free this weekend? A few of us are planning a hike on the 15th.",ham
The conference call recording from the 20th is now available in the shared folder.,ham
"Cheap meds online! V!@GRA, C!AL!S and more. Discreet shipping. Order now!",spam
"Hi David, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
Prescription drugs at 80% off. No prescription needed! http://pharmacy-686334.com,spam
Lose 16 lbs in 23 days GUARANTEED! Our miracle pill works instantly.,spam
Thanks for your email. I'll get back to you by end of day Saturday.,ham
Thanks for your email. I'll get back to you by end of day Sunday.,ham
Your order #548393 has been shipped. Expected delivery: tomorrow.,ham
The conference call recording from next week is now available in the shared folder.,ham
Hot singles in your area are waiting! Meet them tonight at http://date-729949.com,spam
The homework assignment is due the 15th. Please submit via the portal by midnight.,ham
"Hi John, can you review the pull request I submitted? Let me know if you have questions.",ham
Your PayPal account is limited. Verify immediately: http://paypal-011272.com,spam
Nigerian prince needs your help. Transfer $3803 for $76467 reward.,spam
Can we reschedule our Friday call? I have a conflict in the morning.,ham
The library book you reserved is now available for pickup. Expires Thursday.,ham
,ham
"Hi Jessica, your insurance renewal is due on Wednesday. Review your policy attached.",ham
Can we reschedule our Monday call? I have a conflict in the morning.,ham
Lose 28 lbs in 12 days GUARANTEED! Our miracle pill works instantly.,spam
"Hey, are you free this weekend? A few of us are planning a hike on the 15th.",ham
Earn $26418 daily with crypto! Bitcoin investment guaranteed returns.,spam
Happy birthday Michael! Hope you have a wonderful day.,ham
"Hi Sarah, your insurance renewal is due on Monday. Review your policy attached.",ham
FREE iPhone 16 Pro! Limited offer. Reply YES to claim yours now!,spam
Free trial of our premium service. No credit card needed. Sign up: http://free-657809.com,spam
Can we reschedule our Sunday call? I have a conflict in the morning.,ham
Dinner at 10:30 AM tonight? I was thinking we could try that new Italian place.,ham
Can we reschedule our Monday call? I have a conflict in the morning.,ham
LAST CHANCE: Confirm your subscription or lose access. Click: http://sub-296707.net,spam
Exclusive offer for you: Get 90% off everything at http://shop-867036.com,spam
LAST CHANCE: Confirm your subscription or lose access. Click: http://sub-157787.net,spam
Lose 41 lbs in 27 days GUARANTEED! Our miracle pill works instantly.,spam
Exclusive offer for you: Get 90% off everything at http://shop-835268.com,spam
Lose 39 lbs in 18 days GUARANTEED! Our miracle pill works instantly.,spam
Your package is held at customs. Pay $21565 fee: http://customs-419049.com,spam
"Hey, are you free this weekend? A few of us are planning a hike on Tuesday.",ham
LAST CHANCE: Confirm your subscription or lose access. Click: http://sub-008987.net,spam
CLAIM NOW: You've been chosen for a $40798 Amazon gift card!,spam
Your order #946245 has been shipped. Expected delivery: the 15th.,ham
Your order #776746 has been shipped. Expected delivery: Wednesday.,ham
Here's the summary of today's meeting. Action items are highlighted in yellow.,ham
You have been selected for a $98326 cash reward. Act fast! Expires soon.,spam
Thanks for attending the webinar! The recording and slides are attached.,ham
,spam
,spam
"Hi Sarah, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
,ham
Free trial of our premium service. No credit card needed. Sign up: http://free-254550.com,spam
"Hey, are you free this weekend? A few of us are planning a hike on Saturday.",ham
Thanks for attending the webinar! The recording and slides are attached.,ham
"Hey, are you free this weekend? A few of us are planning a hike on Wednesday.",ham
Quick question ? did you get a chance to look at the spreadsheet I sent?,ham
Hot singles in your area are waiting! Meet them tonight at http://date-811210.com,spam
FREE iPhone 16 Pro! Limited offer. Reply YES to claim yours now!,spam
"Hi team, please welcome Michael who is joining us as the new Product Manager starting Saturday.",ham
CLAIM NOW: You've been chosen for a $71773 Amazon gift card!,spam
,spam
Your flight 110454 to New York departs at 9:00 AM on Friday. Check-in opens 24h before.,ham
Prescription drugs at 80% off. No prescription needed! http://pharmacy-984841.com,spam
CLAIM NOW: You've been chosen for a $93484 Amazon gift card!,spam
Double your investment in 24 hours with our secret trading algorithm!,spam
Can we reschedule our Monday call? I have a conflict in the morning.,ham
The homework assignment is due Tuesday. Please submit via the portal by midnight.,ham
"Hey, are you free this weekend? A few of us are planning a hike on next week.",ham
,ham
Dinner at 2:00 PM tonight? I was thinking we could try that new Italian place.,ham
Meet beautiful European women seeking marriage. Visit http://bride-360376.com,spam
Reminder: Team standup is at noon today. Agenda in the shared doc.,
Double your investment in 24 hours with our secret trading algorithm!,spam
Exclusive offer for you: Get 90% off everything at http://shop-773592.com,spam
Your package is held at customs. Pay $53244 fee: http://customs-339172.com,spam
Exclusive offer for you: Get 90% off everything at http://shop-010651.com,spam
Free trial of our premium service. No credit card needed. Sign up: http://free-758708.com,spam
Happy birthday Jessica! Hope you have a wonderful day.,ham
Earn $48559 daily with crypto! Bitcoin investment guaranteed returns.,spam
"Hi Robert, I wanted to follow up on the proposal I sent last week. Any feedback?",
Exclusive offer for you: Get 90% off everything at http://shop-957039.com,spam
Make $18451 per day working from home! No experience needed. Join now!,spam
FREE iPhone 16 Pro! Limited offer. Reply YES to claim yours now!,spam
"Hey, are you free this weekend? A few of us are planning a hike on Sunday.",ham
"Hi Jessica, your insurance renewal is due on Thursday. Review your policy attached.",ham
Reminder: Team standup is at 6:30 PM today. Agenda in the shared doc.,ham
Please review and sign the attached NDA before our meeting on Tuesday.,ham
Exclusive offer for you: Get 90% off everything at http://shop-821398.com,spam
Earn $28747 daily with crypto! Bitcoin investment guaranteed returns.,spam
Earn $77654 daily with crypto! Bitcoin investment guaranteed returns.,spam
Lose 32 lbs in 27 days GUARANTEED! Our miracle pill works instantly.,spam
FYI ? the project deadline has been moved to Monday. Please update your plans.,ham
Nigerian prince needs your help. Transfer $20314 for $243169 reward.,spam
The homework assignment is due Wednesday. Please submit via the portal by midnight.,ham
Prescription drugs at 80% off. No prescription needed! http://pharmacy-007158.com,spam
LAST CHANCE: Confirm your subscription or lose access. Click: http://sub-292546.net,spam
"Hi Jessica, can you review the pull request I submitted? Let me know if you have questions.",ham
"Hi Ashley, just checking in about the meeting scheduled for Sunday at noon.",ham
Here's the summary of today's meeting. Action items are highlighted in yellow.,ham
,spam
Earn $56631 daily with crypto! Bitcoin investment guaranteed returns.,spam
You have been selected for a $49750 cash reward. Act fast! Expires soon.,spam
Thanks for attending the webinar! The recording and slides are attached.,ham
CLAIM NOW: You've been chosen for a $53483 Amazon gift card!,spam
Thanks for attending the webinar! The recording and slides are attached.,ham
Congratulations! You've won a $85848 prize. Click here to claim: http://prize-895123.com,spam
"Hi Ashley, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
"Hi Michael, your insurance renewal is due on the 15th. Review your policy attached.",ham
Your PayPal account is limited. Verify immediately: http://paypal-895369.com,spam
"Cheap meds online! V!@GRA, C!AL!S and more. Discreet shipping. Order now!",spam
Dinner at 10:30 AM tonight? I was thinking we could try that new Italian place.,ham
Meet beautiful Russian women seeking marriage. Visit http://bride-776829.com,spam
Please find attached the report for Q2 as discussed in our last meeting.,ham
Quick question ? did you get a chance to look at the spreadsheet I sent?,ham
Lose 27 lbs in 12 days GUARANTEED! Our miracle pill works instantly.,spam
FYI ? the project deadline has been moved to tomorrow. Please update your plans.,ham
,spam
,ham
Send this to 7 people and receive $96213 from Bill Gates!,spam
Congratulations! You've won a $99574 prize. Click here to claim: http://prize-641383.com,spam
FYI ? the project deadline has been moved to the 15th. Please update your plans.,ham
Reminder: Team standup is at 3:30 PM today. Agenda in the shared doc.,ham
Congratulations! You've won a $65256 prize. Click here to claim: http://prize-372607.com,spam
Breaking: You can erase all debt in 30 days legally! Get our free guide.,
I've booked a table for 3 at 2:00 PM on Saturday. Let me know if plans change.,
"Hi Amanda, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
FREE iPhone 16 Pro! Limited offer. Reply YES to claim yours now!,spam
Please find attached the report for Q3 as discussed in our last meeting.,ham
The invoice #951898 for $7947 is attached. Please process by Saturday.,ham
Exclusive offer for you: Get 90% off everything at http://shop-563983.com,spam
You have been selected for a $21989 cash reward. Act fast! Expires soon.,spam
Send this to 7 people and receive $74818 from Bill Gates!,
The quarterly budget review is scheduled for tomorrow. Please prepare your department numbers.,ham
Free trial of our premium service. No credit card needed. Sign up: http://free-797643.com,spam
Your doctor's appointment is confirmed for tomorrow at 9:00 AM.,ham
Breaking: You can erase all debt in 30 days legally! Get our free guide.,spam
Reminder: Team standup is at 6:30 PM today. Agenda in the shared doc.,ham
Your order #030524 has been shipped. Expected delivery: Sunday.,ham
Quick question ? did you get a chance to look at the spreadsheet I sent?,
Hot singles in your area are waiting! Meet them tonight at http://date-433689.com,spam
Your doctor's appointment is confirmed for Friday at 5:00 PM.,ham
"Hi Ashley, I wanted to follow up on the proposal I sent last week. Any feedback?",
Here's the summary of today's meeting. Action items are highlighted in yellow.,ham
Your PayPal account is limited. Verify immediately: http://paypal-148769.com,spam
Your order #021168 has been shipped. Expected delivery: Wednesday.,ham
Thanks for your email. I'll get back to you by end of day Monday.,ham
Please review and sign the attached NDA before our meeting on Saturday.,ham
The invoice #093524 for $44036 is attached. Please process by the 20th.,ham
Refinance your mortgage! Get $47741 cash back. No credit check needed.,spam
"Hi David, can you review the pull request I submitted? Let me know if you have questions.",ham
WINNER! Your email won our lottery. Send bank details to collect $58081.,spam
Your computer has a virus! Call 1-800-095799 immediately for free removal.,spam
URGENT: Your account has been suspended. Verify now at http://secure-852772.net,spam
,spam
Just a reminder that rent is due on the tomorrowth. Please transfer at your convenience.,ham
Monthly newsletter: Here's what happened in our community this June.,ham
"Hey, are you free this weekend? A few of us are planning a hike on the 20th.",ham
"Cheap meds online! V!@GRA, C!AL!S and more. Discreet shipping. Order now!",spam
Here's the summary of today's meeting. Action items are highlighted in yellow.,ham
The homework assignment is due next week. Please submit via the portal by midnight.,ham
You owe $73982 in taxes. Pay immediately or face arrest. IRS Notice #920666.,spam
"Your password was recently changed. If this wasn't you, contact support immediately.",
The library book you reserved is now available for pickup. Expires Wednesday.,ham
Double your investment in 24 hours with our secret trading algorithm!,spam
Congratulations! You've won a $17261 prize. Click here to claim: http://prize-683878.com,spam
Double your investment in 24 hours with our secret trading algorithm!,
"Hi Jessica, your insurance renewal is due on the 20th. Review your policy attached.",
Your flight 940809 to New York departs at 9:00 AM on Thursday. Check-in opens 24h before.,ham
The quarterly budget review is scheduled for Thursday. Please prepare your department numbers.,ham
Thanks for attending the webinar! The recording and slides are attached.,ham
I've booked a table for 2 at 3:30 PM on Wednesday. Let me know if plans change.,ham
Free trial of our premium service. No credit card needed. Sign up: http://free-184514.com,spam
The library book you reserved is now available for pickup. Expires next week.,ham
The quarterly budget review is scheduled for Wednesday. Please prepare your department numbers.,ham
Hot singles in your area are waiting! Meet them tonight at http://date-305378.com,spam
Meet beautiful Russian women seeking marriage. Visit http://bride-684608.com,spam
"Hi Sarah, your subscription renews on Saturday. Let us know if you'd like to make changes.",ham
Can we reschedule our Saturday call? I have a conflict in the morning.,ham
URGENT: Your account has been suspended. Verify now at http://secure-041591.net,spam
Monthly newsletter: Here's what happened in our community this August.,ham
"Hi Jessica, your subscription renews on Wednesday. Let us know if you'd like to make changes.",ham
You have been selected for a $32274 cash reward. Act fast! Expires soon.,spam
Nigerian prince needs your help. Transfer $12971 for $159493 reward.,spam
Earn $27691 daily with crypto! Bitcoin investment guaranteed returns.,spam
Just a reminder that rent is due on the Thursdayth. Please transfer at your convenience.,ham
URGENT: Your account has been suspended. Verify now at http://secure-171038.net,spam
Refinance your mortgage! Get $66780 cash back. No credit check needed.,spam
"Hi David, your insurance renewal is due on Monday. Review your policy attached.",ham
CLAIM NOW: You've been chosen for a $6315 Amazon gift card!,spam
Can we reschedule our the 20th call? I have a conflict in the morning.,
The homework assignment is due the 20th. Please submit via the portal by midnight.,ham
"Hi Jessica, can you review the pull request I submitted? Let me know if you have questions.",ham
The homework assignment is due next week. Please submit via the portal by midnight.,ham
,ham
Free trial of our premium service. No credit card needed. Sign up: http://free-531943.com,spam
Double your investment in 24 hours with our secret trading algorithm!,spam
Your order #621470 has been shipped. Expected delivery: Monday.,ham
The library book you reserved is now available for pickup. Expires the 20th.,ham
The invoice #705491 for $4680 is attached. Please process by tomorrow.,ham
Dinner at 10:30 AM tonight? I was thinking we could try that new Italian place.,ham
Hot singles in your area are waiting! Meet them tonight at http://date-325376.com,spam
Your flight 503151 to Sydney departs at 2:00 PM on the 15th. Check-in opens 24h before.,ham
Can we reschedule our the 20th call? I have a conflict in the morning.,ham
Double your investment in 24 hours with our secret trading algorithm!,spam
Your package is held at customs. Pay $36824 fee: http://customs-677205.com,spam
The quarterly budget review is scheduled for the 15th. Please prepare your department numbers.,ham
The library book you reserved is now available for pickup. Expires next week.,ham
Double your investment in 24 hours with our secret trading algorithm!,spam
The library book you reserved is now available for pickup. Expires tomorrow.,ham
Double your investment in 24 hours with our secret trading algorithm!,spam
The library book you reserved is now available for pickup. Expires tomorrow.,ham
"Hi John, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
The quarterly budget review is scheduled for Saturday. Please prepare your department numbers.,ham
,ham
You have been selected for a $5578 cash reward. Act fast! Expires soon.,spam
CLAIM NOW: You've been chosen for a $37250 Amazon gift card!,spam
The library book you reserved is now available for pickup. Expires the 15th.,ham
"Hi Sarah, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
Prescription drugs at 80% off. No prescription needed! http://pharmacy-960438.com,spam
Dinner at 2:00 PM tonight? I was thinking we could try that new Italian place.,ham
Nigerian prince needs your help. Transfer $75512 for $290769 reward.,spam
Monthly newsletter: Here's what happened in our community this July.,ham
Thanks for your email. I'll get back to you by end of day the 15th.,ham
Your package is held at customs. Pay $26628 fee: http://customs-028532.com,spam
Quick question ? did you get a chance to look at the spreadsheet I sent?,ham
Quick question ? did you get a chance to look at the spreadsheet I sent?,
Hot singles in your area are waiting! Meet them tonight at http://date-634544.com,spam
The library book you reserved is now available for pickup. Expires Sunday.,ham
"Hi John, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
WINNER! Your email won our lottery. Send bank details to collect $74019.,spam
Earn $5904 daily with crypto! Bitcoin investment guaranteed returns.,spam
Breaking: You can erase all debt in 30 days legally! Get our free guide.,spam
Thanks for your email. I'll get back to you by end of day next week.,ham
Refinance your mortgage! Get $40127 cash back. No credit check needed.,spam
You have been selected for a $80061 cash reward. Act fast! Expires soon.,spam
Thanks for your email. I'll get back to you by end of day the 20th.,ham
CLAIM NOW: You've been chosen for a $49670 Amazon gift card!,
You owe $55972 in taxes. Pay immediately or face arrest. IRS Notice #968740.,spam
Here's the summary of today's meeting. Action items are highlighted in yellow.,ham
You owe $39860 in taxes. Pay immediately or face arrest. IRS Notice #742312.,spam
Monthly newsletter: Here's what happened in our community this September.,ham
Breaking: You can erase all debt in 30 days legally! Get our free guide.,spam
Congratulations! You've won a $45938 prize. Click here to claim: http://prize-265016.com,spam
Refinance your mortgage! Get $52629 cash back. No credit check needed.,spam
Nigerian prince needs your help. Transfer $23096 for $56926 reward.,spam
Prescription drugs at 80% off. No prescription needed! http://pharmacy-381301.com,spam
Please find attached the report for Q3 as discussed in our last meeting.,ham
Here's the summary of today's meeting. Action items are highlighted in yellow.,ham
Prescription drugs at 80% off. No prescription needed! http://pharmacy-726208.com,spam
Thanks for attending the webinar! The recording and slides are attached.,ham
CLAIM NOW: You've been chosen for a $13191 Amazon gift card!,spam
FREE iPhone 16 Pro! Limited offer. Reply YES to claim yours now!,spam
"Hey, are you free this weekend? A few of us are planning a hike on the 15th.",ham
The quarterly budget review is scheduled for Thursday. Please prepare your department numbers.,ham
"Hi Sarah, can you review the pull request I submitted? Let me know if you have questions.",ham
Your flight 151378 to Toronto departs at 6:30 PM on Saturday. Check-in opens 24h before.,ham
Your order #139522 has been shipped. Expected delivery: Thursday.,ham
"Hi Sarah, just checking in about the meeting scheduled for Tuesday at 10:30 AM.",ham
You owe $85145 in taxes. Pay immediately or face arrest. IRS Notice #212021.,spam
Free trial of our premium service. No credit card needed. Sign up: http://free-031723.com,spam
The conference call recording from Monday is now available in the shared folder.,ham
Just a reminder that rent is due on the tomorrowth. Please transfer at your convenience.,ham
Send this to 15 people and receive $45006 from Bill Gates!,spam
Free trial of our premium service. No credit card needed. Sign up: http://free-504043.com,spam
Quick question ? did you get a chance to look at the spreadsheet I sent?,ham
Free trial of our premium service. No credit card needed. Sign up: http://free-044836.com,spam
"Your password was recently changed. If this wasn't you, contact support immediately.",ham
"Hey, are you free this weekend? A few of us are planning a hike on Saturday.",ham
Prescription drugs at 80% off. No prescription needed! http://pharmacy-558665.com,spam
FREE iPhone 15! Limited offer. Reply YES to claim yours now!,spam
"Hi Ashley, your insurance renewal is due on Wednesday. Review your policy attached.",
"Hi Amanda, your subscription renews on Sunday. Let us know if you'd like to make changes.",ham
The quarterly budget review is scheduled for the 15th. Please prepare your department numbers.,ham
URGENT: Your account has been suspended. Verify now at http://secure-692364.net,spam
Send this to 5 people and receive $67291 from Bill Gates!,spam
The invoice #394684 for $24375 is attached. Please process by Friday.,ham
Lose 22 lbs in 27 days GUARANTEED! Our miracle pill works instantly.,spam
